Date,Price,Open,High,Low,Vol.,Change %
"Aug 06, 2023",29428.2,29067.9,30168.6,28721,256.33K,1.24%
"Jul 30, 2023",29068.1,29354.2,30025.9,28611,282.53K,-0.97%
"Jul 23, 2023",29353.5,29788.9,30337,28890.7,245.08K,-1.46%
"Jul 16, 2023",29788.9,30291.8,30435,29621.4,253.92K,-1.66%
"Jul 09, 2023",30291.4,30288.8,31764.5,29944.3,429.51K,0.01%
"Jul 02, 2023",30288.8,30587.1,31463.6,29757.4,347.61K,-0.97%
"Jun 25, 2023",30586.8,30533.6,31275.5,29714.5,489.67K,0.17%
"Jun 18, 2023",30533.6,26515,31395.4,26290.6,595.01K,15.16%
"Jun 11, 2023",26515,25843.3,26767.3,24838,403.42K,2.60%
"Jun 04, 2023",25747.8,27070.9,27410.2,25557.1,49.65K,-4.89%
"May 28, 2023",27072,26855.3,28431.2,26541.3,364.20K,0.80%
"May 21, 2023",26857.5,27116.2,27448.1,25892.5,326.61K,-0.95%
"May 14, 2023",27116.2,26777.4,27651.7,26449.8,318.29K,1.27%
"May 07, 2023",26777.5,28857.1,29122,25853.1,501.86K,-7.21%
"Apr 30, 2023",28857.1,29235.1,29941.3,27685.9,479.52K,-1.29%
"Apr 23, 2023",29234.1,27813.8,29995.7,27054.3,594.98K,5.11%
"Apr 16, 2023",27813.9,30299.2,30545.3,27165.7,583.96K,-8.20%
"Apr 09, 2023",30299.6,27941.2,30964.9,27809.2,544.03K,8.44%
"Apr 02, 2023",27941.2,28456.1,28744.4,27256.9,397.27K,-1.81%
"Mar 26, 2023",28456.1,27474.9,29160.4,26611.5,684.10K,3.57%
"Mar 19, 2023",27475.6,26914.5,28760.3,26668.7,1.98M,2.09%
"Mar 12, 2023",26914.1,20465,27742.2,20294.2,4.38M,31.50%
"Mar 05, 2023",20467.5,22347.1,22636.7,19591.8,2.75M,-8.41%
"Feb 26, 2023",22347.1,23166.1,23914.1,22051.9,1.99M,-3.54%
"Feb 19, 2023",23166.1,24631.3,25236.8,22777.4,2.61M,-5.95%
"Feb 12, 2023",24631.4,21859.9,25233.8,21418.7,2.81M,12.68%
"Feb 05, 2023",21859.8,23326.9,23425.1,21491.7,2.23M,-6.28%
"Jan 29, 2023",23323.8,23023.5,24207.2,22560,2.36M,1.28%
"Jan 22, 2023",23027.9,22775.7,23779,22323,2.25M,1.11%
"Jan 15, 2023",22775.7,20956,23304.5,20448.3,2.28M,8.67%
"Jan 08, 2023",20958.2,16943.6,21185.6,16913.8,2.44M,23.69%
"Jan 01, 2023",16943.6,16537.5,17012.3,16499.7,1.31M,2.46%
"Dec 25, 2022",16537.4,16835.7,16964,16360,1.24M,-1.78%
"Dec 18, 2022",16837.2,16777,17031.3,16331.2,1.35M,0.36%
"Dec 11, 2022",16777.1,17127,18351.8,16542.4,1.94M,-2.04%
"Dec 04, 2022",17127.2,16884.8,17395.2,16715.3,1.73M,1.44%
"Nov 27, 2022",16884.5,16456.4,17244.7,16013.5,1.79M,2.60%
"Nov 20, 2022",16456.5,16699.3,16785.6,15504.2,1.78M,-1.45%
"Nov 13, 2022",16699.2,16803.9,17158.4,15834,1.58M,-0.57%
"Nov 06, 2022",16795.2,21298.7,21360.4,15603.3,4.02M,-21.16%
"Oct 30, 2022",21301.6,20809.4,21464.7,20065.8,2.62M,2.36%
"Oct 23, 2022",20809.8,19204.8,21038.1,19092.5,2.25M,8.36%
"Oct 16, 2022",19204.8,19068.8,19692.9,18703.3,1.72M,0.71%
"Oct 09, 2022",19068.7,19416.3,19933.9,18207.9,2.12M,-1.78%
"Oct 02, 2022",19415,19311.9,20436.7,18937.3,2.17M,0.53%
"Sep 25, 2022",19311.9,18925.1,20361.2,18505.3,3.37M,2.04%
"Sep 18, 2022",18925.2,20113.9,20113.9,18191.8,2.82M,-5.91%
"Sep 11, 2022",20113.5,21650.4,22702.5,19352.9,2.58M,-7.10%
"Sep 04, 2022",21650.4,19832.2,21790.6,18548.4,2.38M,9.17%
"Aug 28, 2022",19831.4,20034.2,20558.2,19542.9,1.85M,-1.01%
"Aug 21, 2022",20033.9,21138.9,21832.3,19849.8,1.70M,-5.23%
"Aug 14, 2022",21138.9,24442.1,25205.7,20784.8,1.73M,-13.52%
"Aug 07, 2022",24442.5,22944.2,24882.9,22714.7,1.39M,6.53%
"Jul 31, 2022",22944.2,23634.2,24179.3,22438.7,1.25M,-2.92%
"Jul 24, 2022",23634.2,22449.8,24605.3,20737.3,1.49M,5.23%
"Jul 17, 2022",22460.4,21209.8,24258,20755.2,1.61M,5.90%
"Jul 10, 2022",21209.9,21587.4,21599.2,18942.2,1.31M,-1.75%
"Jul 03, 2022",21587.5,19243.4,22482.1,18794.4,1.39M,12.18%
"Jun 26, 2022",19243.2,21489.9,21837.4,18682.7,742.87K,-10.45%
"Jun 19, 2022",21489.9,18983.4,21689.3,17983.7,889.96K,13.19%
"Jun 12, 2022",18986.5,28404,28534.8,17630.5,1.44M,-33.15%
"Jun 05, 2022",28403.4,29865.1,31753.4,28161.8,614.26K,-4.89%
"May 29, 2022",29864.3,29027.1,32377.5,28838.7,610.88K,2.88%
